"Avocados: U.S. imports by value ($1,000)",,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. imports by volume (1,000 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. imports unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. import sources by value,,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. import sources by volume,,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. exports by value ($1,000) ",,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. exports by volume (1,000 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. export destinations by value,,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. export destinations by volume,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2012,9,51151.737,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2012,10,82295.121,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2012,11,76363.24,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2012,12,78648.679,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,1,105583.502,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,2,68667.627,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,3,104973.755,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,4,93600.731,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,5,91417.449,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,6,77503.904,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,7,66251.658,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,8,72170.912,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,9,85961.522,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,10,120381.916,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,11,102555.63,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2013,12,100272.323,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,1,149422.15,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,2,111137.673,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,3,137832.559,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,4,123644.684,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,5,114155.001,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,6,135755.795,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,7,125405.832,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,8,110745.49,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,9,149556.772,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,10,135718.099,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,11,114326.584,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2014,12,118674.234,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,1,173913.01,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,2,124448.593,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,3,143180.127,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,4,127594.683,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,5,131782.199,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,6,129814.149,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,7,160924.832,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,8,129983.507,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,9,135745.918,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,10,129007.78,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,11,130706.419,,,,,,,,,,,,,,,,
